invoice_id,issue_date,due_date,vendor_id,vendor_name,customer_id,customer_name,tax_id,currency,subtotal,tax_rate,tax_amount,total,status
INV-2024-001,2024-01-05,2024-02-05,VND-001,Acme Supplies SA,CUS-101,TechCorp Argentina,20-12345678-9,ARS,150000.00,21,31500.00,181500.00,issued
INV-2024-002,2024-01-08,2024-02-08,VND-002,Global Parts SRL,CUS-102,Grupo Innovar,30-98765432-1,ARS,85000.00,21,17850.00,102850.00,issued
INV-2024-003,2024-01-10,2024-02-10,VND-001,Acme Supplies SA,CUS-103,Servicios del Norte,20-11223344-5,USD,2500.00,0,0.00,2500.00,issued
INV-2024-004,2024-01-12,2024-02-12,VND-003,Distribuidora Sur SA,CUS-101,TechCorp Argentina,20-12345678-9,ARS,320000.00,21,67200.00,387200.00,paid
INV-2024-005,2024-01-15,2024-02-15,VND-004,Logística Express SRL,CUS-104,Consultora del Este,27-55667788-3,ARS,47500.00,10.5,4987.50,52487.50,issued
INV-2024-006,2024-01-18,2024-02-18,VND-002,Global Parts SRL,CUS-105,Manufactura Andina,30-44332211-7,ARS,210000.00,21,44100.00,254100.00,paid
INV-2024-007,2024-01-20,2024-02-20,VND-005,Servicios Digitales SA,CUS-102,Grupo Innovar,30-98765432-1,USD,8750.00,0,0.00,8750.00,issued
INV-2024-008,2024-01-22,2024-02-22,VND-003,Distribuidora Sur SA,CUS-106,Importaciones del Plata,20-99887766-4,ARS,95000.00,21,19950.00,114950.00,issued
INV-2024-009,2024-01-25,2024-02-25,VND-001,Acme Supplies SA,CUS-107,Soluciones Integrales SRL,33-12398765-9,ARS,175000.00,21,36750.00,211750.00,paid
INV-2024-010,2024-01-28,2024-02-28,VND-004,Logística Express SRL,CUS-103,Servicios del Norte,20-11223344-5,ARS,62000.00,10.5,6510.00,68510.00,issued
