invoice_id,issue_date,due_date,vendor_id,vendor_name,customer_id,customer_name,tax_id,currency,subtotal,tax_rate,tax_amount,total,status
INV-2024-011,2024-02-01,2024-03-01,VND-001,Acme Supplies SA,CUS-101,TechCorp Argentina,20-12345678-9,ARS,95000.00,21,19950.00,114950.00,issued
INV-2024-011,2024-02-03,2024-03-03,VND-002,Global Parts SRL,CUS-108,Comercial Mendoza,30-56781234-2,ARS,43000.00,21,9030.00,52030.00,issued
INV-2024-013,2024-02-05,2024-03-05,VND-003,Distribuidora Sur SA,,Empresa Sin ID,,ARS,120000.00,21,25200.00,145200.00,issued
INV-2024-014,32-02-2024,2024-03-08,VND-004,Logística Express SRL,CUS-104,Consultora del Este,27-55667788-3,ARS,67000.00,21,14070.00,81070.00,paid
INV-2024-015,2024-02-10,2024-03-10,VND-005,Servicios Digitales SA,CUS-105,Manufactura Andina,30-44332211-7,PESOS,35000.00,21,7350.00,42350.00,issued
INV-2024-016,2024-02-12,2024-03-12,VND-001,Acme Supplies SA,CUS-106,Importaciones del Plata,20-99887766-4,ARS,-5000.00,21,-1050.00,-6050.00,issued
INV-2024-017,2024-02-14,2024-03-14,VND-002,Global Parts SRL,CUS-109,Soluciones Tucumán SA,20-33445566-8,ARS,88000.00,21,18480.00,99999.00,issued
INV-2024-018,2024-02-16,2024-01-10,VND-003,Distribuidora Sur SA,CUS-101,TechCorp Argentina,20-12345678-9,ARS,250000.00,21,52500.00,302500.00,paid
INV-2024-019,2024-02-18,2024-03-18,VND-004,Logística Express SRL,CUS-110,Grupo Patagonia SRL,27-66778899-1,ARS,,21,,issued
INV-2024-020,2024-02-20,2024-03-20,VND-006,,CUS-111,Distribuidora Noroeste,30-11223344-0,USD,15000.00,35,5250.00,20250.00,procesando
